,Electricity (kWh),Heating (kWh)
0,967.882,12.918
1,875.72,10.96
2,850.107,15.324
3,789.001,11.117
4,705.696,27.162
5,988.064,60.119
6,616.614,27.878
7,547.199,23.288
8,1043.35,99.494
9,919.727,11.966
10,1305.21,159.604
11,1640.007,5.47
12,1198.071,69.936
13,1194.98,57.214
14,1510.504,19.217
15,1706.833,8.82
16,1551.08,27.354
17,1962.292,13.46
18,1766.939,74.336
19,1535.275,4.99
20,1565.055,78.669
21,1211.669,7.733
22,852.853,34.326
23,1301.074,27.984
24,983.766,30.408
25,907.084,24.072
26,614.156,53.394
27,803.168,11.477
28,946.14,24.465
29,1134.488,63.313
30,564.992,164.393
31,844.635,112.345
32,1220.672,130.934
33,890.337,35.997
34,1303.518,26.488
35,1616.152,21.38
36,1321.941,10.215
37,1288.723,16.542
38,2006.851,63.84
39,1667.353,63.038
40,1312.861,7.151
41,1668.08,71.085
42,1401.677,66.533
43,1986.516,4.831
44,1368.413,25.636
45,970.955,158.487
46,634.341,32.615
47,965.686,20.182
48,999.306,71.997
49,728.917,60.897
50,901.124,18.052
51,775.561,100.207
52,1161.268,41.507
53,490.176,201.554
54,818.76,446.419
55,771.769,15.924
56,712.478,4.687
57,1468.218,11.617
58,1441.26,45.868
59,1220.809,41.829
60,1321.312,33.849
61,1016.898,80.762
62,980.635,53.353
63,2005.767,76.708
64,1479.177,69.531
65,1074.223,18.997
66,1270.336,101.789
67,1678.065,106.396
68,1207.932,93.145
69,1592.693,195.124
70,730.077,101.998
71,1281.46,10.097
72,921.956,19.061
73,801.618,42.299
74,779.85,53.173
75,741.422,24.801
76,1244.756,39.436
77,692.615,53.108
78,658.187,185.918
79,942.864,18.259
80,995.0,80.587
81,1247.155,35.888
82,1330.025,77.823
83,1292.929,17.6
84,810.541,68.731
85,1634.256,18.12
86,1046.919,100.92
87,1283.79,89.728
88,1268.497,83.817
89,1619.565,12.886
90,1195.804,17.206
91,1497.361,27.707
92,1366.996,7.577
93,896.734,26.999
94,1020.592,21.427
95,1105.662,36.422
96,964.18,18.894
97,913.832,53.221
98,1342.76,12.354
99,784.482,33.655
100,934.137,36.806
101,1006.27,143.892
102,816.279,44.57
103,942.63,131.656
104,588.306,47.717
105,1051.567,131.06
106,1189.05,29.866
107,1048.205,87.978
108,868.145,23.574
109,1176.071,91.404
110,1614.182,24.942
111,767.524,39.928
112,1691.743,3.207
113,1388.54,48.808
114,1186.266,41.266
115,1855.061,21.633
116,1478.197,25.905
117,1037.858,24.788
118,1167.675,41.057
119,1170.621,27.769
120,806.277,51.208
121,578.314,32.732
122,936.552,13.645
123,599.633,104.632
124,810.91,46.622
125,925.044,32.347
126,862.52,68.892
127,731.697,46.323
128,887.822,75.95
129,1747.388,26.732
130,1190.994,35.856
131,1723.448,11.255
132,1420.86,104.266
133,1404.088,128.545
134,942.817,59.331
135,1740.964,61.241
136,1461.737,91.717
137,1654.863,52.363
138,1328.471,82.384
139,1300.259,45.341
140,1390.091,132.093
141,712.807,10.568
142,1243.114,32.707
143,931.363,19.132
144,776.576,20.113
145,946.974,132.505
146,590.561,36.045
147,715.445,30.297
148,719.105,61.319
149,1194.842,138.045
150,666.809,133.886
151,766.682,36.739
152,976.536,136.12
153,1302.347,34.182
154,1610.261,116.047
155,1406.116,13.586
156,1604.149,60.41
157,2167.346,79.415
158,822.143,41.02
159,502.623,33.016
160,2263.783,32.123
161,1601.945,13.234
162,719.133,16.231
163,1017.515,70.946
164,999.536,106.788
165,1312.603,60.695
166,919.334,30.759
167,1298.421,25.971
168,462.335,71.115
169,664.121,12.898
170,1005.65,77.529
171,817.004,15.402
172,982.968,17.486
173,828.637,80.626
174,792.316,45.072
175,944.889,30.911
176,828.78,4.544
177,916.92,35.701
178,1287.69,27.551
179,1251.089,34.414
180,1390.484,43.369
181,1721.54,2.527
182,1253.85,8.481
183,1635.858,45.881
184,1771.862,24.673
185,1683.973,4.865
186,999.965,11.153
187,1341.181,57.098
188,1401.902,24.166
189,1044.935,72.373
190,819.918,3.441
191,1227.906,10.439
192,796.931,20.316
193,843.749,76.546
194,759.284,19.465
195,934.71,8.839
196,779.034,50.458
197,598.604,91.568
198,695.557,104.577
199,828.769,85.88
200,673.077,7.967
201,1218.334,5.274
202,1879.153,29.425
203,1590.296,29.066
204,1325.417,106.915
205,2063.845,22.371
206,1154.066,53.99
207,1707.966,6.451
208,1360.701,20.228
209,1466.448,33.168
210,1499.258,28.808
211,1688.948,32.281
212,1220.541,16.329
213,1340.652,33.004
214,874.049,26.447
215,716.592,60.349
216,749.954,33.888
217,914.742,45.235
218,944.265,24.545
219,634.456,62.566
220,737.983,67.235
221,1006.357,48.219
222,567.603,91.267
223,760.714,20.916
224,668.104,37.278
225,1008.002,77.156
226,643.935,39.531
227,1507.853,94.384
228,1359.028,18.068
229,1493.126,5.36
230,1373.373,19.218
231,1947.433,26.313
232,1217.007,20.727
233,1080.212,12.21
234,1482.378,8.142
235,1443.816,22.363
236,559.782,159.198
237,1080.859,32.871
238,1435.42,44.545
239,876.565,9.043
240,1144.22,36.012
241,861.58,59.291
242,549.647,82.426
243,668.294,10.353
244,762.886,19.964
245,743.641,86.196
246,762.636,47.282
247,1002.766,12.979
248,831.305,40.085
249,731.374,12.614
250,1415.336,107.547
251,1362.744,25.866
252,1127.291,29.455
253,1184.373,9.41
254,1362.622,46.635
255,1597.504,37.129
256,1418.215,77.472
257,1745.156,25.821
258,696.008,13.362
259,921.946,31.544
260,1428.318,51.014
261,1286.773,47.201
262,833.449,59.081
263,881.518,28.196
264,1149.534,22.94
265,852.266,11.374
266,976.994,42.175
267,894.811,32.192
268,549.601,184.73
269,1267.825,57.751
270,650.18,82.705
271,794.1,20.467
272,747.671,119.739
273,1348.146,7.453
274,912.873,41.573
275,1436.072,22.175
276,988.764,127.558
277,1426.71,22.489
278,1449.794,22.666
279,1729.19,110.955
280,1466.737,24.335
281,1266.167,25.387
282,1324.071,43.681
283,1126.171,84.905
284,771.038,61.958
285,1232.091,12.994
286,897.81,3.945
287,1083.629,27.836
288,929.87,59.32
289,751.979,6.87
290,1084.223,33.36
291,964.755,24.281
292,902.621,63.606
293,864.791,50.825
294,974.394,51.883
295,654.76,34.148
296,861.9,12.711
297,806.567,74.151
298,1353.718,28.824
299,1464.156,44.226
300,918.259,5.229
301,1250.141,33.913
302,1267.959,14.851
303,991.817,90.678
304,1267.6,62.297
305,1487.221,9.767
306,1172.989,34.824
307,1385.727,45.618
308,990.412,70.89
309,901.78,13.019
310,1024.925,18.826
311,720.407,27.347
312,1168.952,23.483
313,1189.906,19.697
314,901.15,9.252
315,834.504,5.68
316,1329.922,30.005
317,753.643,10.724
318,948.072,88.699
319,1011.079,34.961
320,1299.379,156.587
321,844.516,87.569
322,1447.752,23.572
323,1168.766,36.349
324,1239.086,79.331
325,1204.616,49.652
326,990.312,27.591
327,1636.47,194.356
328,1364.743,14.348
329,1498.677,9.185
330,592.153,37.525
331,1019.36,35.144
332,1320.777,47.689
333,1106.428,26.24
334,1502.417,20.867
335,1043.179,9.477
336,629.794,17.658
337,1522.774,21.623
338,1155.875,12.204
339,586.181,10.325
340,1341.068,41.244
341,1072.191,57.665
342,1422.976,81.668
343,889.296,55.973
344,945.817,22.69
345,1108.075,5.077
346,1566.995,24.482
347,1555.555,22.653
348,1220.474,7.638
349,1304.14,27.079
350,1131.597,126.097
351,1547.709,30.29
352,1425.139,20.102
353,1337.336,82.364
